id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1mVLbFwad1wce7mAhFw2Ih,Pininfarina - Remix,"Rei, Neo Pistea, Duki","['4IG1SDlwgNKzqTmjBrvY3K', '01m2XZ7m7rAz6KY3scTdaV', '1bAftSH8umNcGZ0uyV7LMg']",trap argentino argentine hip hop trap argentino trap latino argentine hip hop trap argentino trap latino trap triste,2020,260.788,71,0.748,0.767,1,53.761,0,0.0424,0.21,0.0,0.108,0.428,89.982
1IX9zu7Ciqf1k48IyPLruN,big city blues,"Lil Peep, Cold Hart","['2kCcBybjl3SAtIcwdWpUe3', '1fsCfvdiomqjKJFR6xI8e4']",dark trap emo rap glitchcore sad rap underground hip hop emo rap lgbtq hip hop,2020,155.573,71,0.589,0.665,0,52.895,1,0.044,0.0545,0.0,0.221,0.298,74.978
6cvMmviJTZTBOFh2ohwZg6,A Mi Lado,DANI,['6cC67GpmPCjQjOYLpmOGhN'],argentine hip hop trap argentino,2020,178.349,71,0.741,0.484,7,51.857,1,0.547,0.58,0.0,0.154,0.632,86.383
0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,Dr. Dog,['4mLJ3XfOM5FPjSAWdQ2Jk7'],alternative rock indie folk indie pop indie rock modern folk rock modern rock philly indie shimmer pop stomp and holler,2010,234.8,71,0.454,0.82,2,55.807,1,0.0567,0.132,0.000969,0.115,0.575,166.303
6O7fPYTsb2mY0PiFt2ymDB,Aim For The Moon (feat. Quavo),"Pop Smoke, Quavo","['0eDvMgVFoNV3TpwtrVCoTj', '0VRj0yCOv2FXJNP47XQnx5']",brooklyn drill atl hip hop hip hop melodic rap pop rap rap southern hip hop trap,2020,175.756,71,0.713,0.605,11,52.513,1,0.107,0.497,3.46e-06,0.115,0.432,142.025
4agLM5EfiWR2AKMq7gFwcM,Pa Ti,"Jennifer Lopez, Maluma","['2DlGxzQSjYe5N6G9nkYghR', '1r4hJ1h58CWwUQe3MxPuau']",latin reggaeton reggaeton colombiano dance pop pop pop rap postteen pop urban contemporary,2020,230.027,71,0.86,0.762,9,57.657,0,0.0447,0.286,0.000148,0.0697,0.763,139.992
78q4ESvMkPVJzHAV11LAGE,Little Bit of Love,Tom Grennan,['5SHxzwjek1Pipl1Yk11UHv'],modern rock uk pop,2021,226.268,71,0.689,0.706,1,55.52,0,0.0312,0.0833,0.0,0.105,0.623,106.52
6Iocm6VMu6bVNYwiDoyQFW,Coming Home,"Diddy - Dirty Money, Skylar Grey","['2QYEvpsWUOjqaYuxDPTCmV', '4utLUGcTvOJFr6aqIJtYWV']",hip pop pop rap urban contemporary piano rock viral pop,2010,238.693,71,0.392,0.839,7,58.079,1,0.193,0.158,0.0,0.3,0.232,168.001
2IFFKj9orAsQOOS0JRhHAW,JEWELZ,Anderson .Paak,['3jK9MiCrA42lLAdMGUZpwa'],escape room,2020,174.213,71,0.884,0.653,11,52.347,0,0.0586,0.371,0.00135,0.812,0.766,108.548
7hCNBVRhHzcsRAv0TQnOzq,Runaway Baby,Bruno Mars,['0du5cEVh5yTK9QJze8zA0C'],dance pop pop postteen pop,2010,147.747,71,0.656,0.767,11,56.962,1,0.0396,0.25,0.0,0.114,0.871,163.834
1HFblnk2Twji0kDogp9D1o,GTA,Rarin,['3VhKwjUzCzgIJAzpjMBXmQ'],sad rap,2020,124.765,71,0.685,0.644,5,52.27,0,0.1,0.0791,0.0,0.107,0.471,155.079
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,['15iVAtD3s3FsQR4w1v6M0P'],chicago drill chicago rap drill hip hop pop rap rap southern hip hop trap underground hip hop,2012,246.213,71,0.772,0.413,0,51.807,0,0.089,0.0361,0.0,0.111,0.211,131.965
0gb1J5UrTpzaU1s3nupgCd,No Money,Galantis,['4sTQVOfp9vEMCemLw50sbu'],dance pop edm electro house pop pop dance tropical house,2016,189.127,71,0.671,0.916,6,55.986,0,0.0397,0.0282,0.00762,0.24,0.803,126.01
0fBSs3fRoh1yJcne77fdu9,Video Games - Remastered 2012,Lana Del Rey,['00FQb4jTyendYWaN8pK0wa'],art pop pop,2012,281.96,71,0.236,0.249,6,50.405,0,0.0348,0.811,1e-06,0.087,0.181,72.847
26PwuMotZqcczKLHi4Htz3,Redemption Song,Bob Marley & The Wailers,['2QsynagSdAqZj3U9HgDzjD'],reggae roots reggae,1980,233.56,71,0.671,0.256,7,49.257,1,0.0387,0.608,0.0,0.0737,0.694,115.871
6KI1ZpZWYAJLvmVhCJz65G,You Don't Own Me (feat. G-Eazy),"SAYGRACE, G-Eazy","['6y5amJcTjeDgLXIjtQLMst', '02kJSzxNuaWGqwubyUba0Z']",alt z dance pop pop postteen pop rb hip hop indie pop rap oakland hip hop pop rap rap,2016,201.493,71,0.332,0.635,7,54.347,1,0.0898,0.159,2.79e-06,0.0599,0.261,186.249
7t4ihBlcMdkyUeO6W1DfYH,Baby Powder,Jenevieve,['0dUYLC7DLjeS8gIh8cz2Pq'],alternative rb chill rb indie rb rb,2020,180.435,71,0.784,0.521,1,51.783,0,0.0529,0.323,0.000283,0.0518,0.682,78.456
5hEM0JchdVzQ5PwvSfITeX,Me llamas (feat. Maluma) - Remix,"Piso 21, Maluma","['4bw2Am3p9ji3mYsXNXtQcd', '1r4hJ1h58CWwUQe3MxPuau']",latin reggaeton reggaeton colombiano colombian pop latin latin pop reggaeton reggaeton colombiano trap latino,2016,210.323,71,0.76,0.838,7,56.172,0,0.0529,0.547,1.3e-06,0.0664,0.745,93.05
1CnPYaKxTVb4LWOtiGOm0m,All Time Low,Jon Bellion,['50JJSqHUf2RQ9xsHs0KMHg'],pop rap,2016,217.603,71,0.617,0.567,0,55.812,1,0.0828,0.0584,0.0,0.0933,0.505,90.246
0tZkVZ9DeAa0MNK2gY5NtV,Baby I'm Yours,"Breakbot, Irfane","['0iui2Be5CP8EWxvHYsVspL', '3nqQeOUvDPTu4vtYtPfBjX']",alternative dance filter house new french touch nu disco,2012,215.507,71,0.829,0.792,2,56.245,0,0.0668,0.726,5.83e-06,0.122,0.758,118.05
5XMkENs3GfeRza8MfVAhjK,Finesse,Bruno Mars,['0du5cEVh5yTK9QJze8zA0C'],dance pop pop postteen pop,2016,191.0,71,0.741,0.798,5,54.658,0,0.0718,0.00781,0.0,0.0232,0.939,104.953
7dlNGfd6Fq8xcFb4K6Glws,I Need U,BTS,['3Nrfpe0tUJi4K4DXYWgMUX'],kpop kpop boy group,2016,210.577,71,0.475,0.897,5,57.617,0,0.0736,0.0184,0.0,0.296,0.642,78.918
4YAg8h8WliHZlW5wuv8Jpk,To Be Young (feat. Doja Cat),"Anne-Marie, Doja Cat","['1zNqDE7qDGCsyzJwohVaoX', '5cj0lLjcoR7YOSnhnX0Po5']",dance pop pop pop rap dance pop pop pop dance postteen pop tropical house uk pop,2020,194.758,71,0.525,0.649,8,55.198,1,0.0655,0.241,0.0,0.129,0.286,155.995
4kte3OcW800TPvOVgrLLj8,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,['21E3waRsmPlU7jZsS13rcj'],dance pop pop pop rap rb urban contemporary,2012,251.627,71,0.658,0.677,5,53.372,1,0.0393,0.248,0.0,0.368,0.248,124.91
6kkwzB6hXLIONkEk9JciA6,Weightless,Marconi Union,['3nZ3ed6p4CKc1McTLypr6H'],ambient,2012,480.107,71,0.139,0.22,2,40.026,0,0.0324,0.856,0.831,0.17,0.0789,71.432
7M6CFruBrM5x7u0lTMtm6r,Cómo Te Atreves,Morat,['5C4PDR4LnhZTbVnKWXuDKD'],colombian pop latin latin pop,2016,240.56,71,0.617,0.888,4,55.433,1,0.0402,0.0705,0.0,0.162,0.771,130.97
5fohLPNqO6TqwrZ7BoUWUT,High For This,The Weeknd,['1Xyo4u8uXC1ZmMpatF05PJ'],canadian contemporary rb canadian pop pop,2012,247.227,71,0.465,0.403,11,51.105,0,0.0755,0.744,0.000667,0.0777,0.0687,74.95
1CmUZGtH29Kx36C1Hleqlz,Thrift Shop (feat. Wanz),"Macklemore, Ryan Lewis, Wanz","['3JhNCzhSMTxs9WLGJJxWOY', '4myTppRgh0rojLxx8RycOp', '56xTxG4nQMAs1GW9kvn0uA']", pop pop rap seattle hip hop ,2012,235.613,71,0.781,0.526,6,53.015,0,0.293,0.0619,0.0,0.0457,0.662,94.992
4v2yxWNY3WCzB0YS9QJZP4,Byahe,John Roa,['2U5mF0PZqGu6glnz55yY0y'],opm,2016,249.185,71,0.682,0.471,8,50.514,1,0.053,0.565,0.00277,0.0919,0.56,126.618
5g7rJvWYVrloJZwKiShqlS,Dirty Paws,Of Monsters and Men,['4dwdTW1Lfiq0cM8nBAqIIz'],folkpop indie pop metropopolis modern alternative rock modern rock pop rock stomp and holler,2012,278.373,71,0.359,0.649,3,52.94,1,0.0349,0.107,0.0124,0.0555,0.133,111.709
0W6vig3DpP1D3R4w72hdWp,Days Like This,Dermot Kennedy,['5KNNVgR6LBIABRIomyCwKJ'],folkpop irish pop pop,2020,149.803,71,0.642,0.214,3,50.75,1,0.198,0.909,0.0,0.122,0.38,80.444
5f4Hy5mw5SRaUgXX9c6P5S,Sum 2 Prove,Lil Baby,['5f7VJjfbwm532GiveGC0ZK'],atl hip hop atl trap rap trap,2020,205.76,71,0.827,0.552,4,52.429,0,0.274,0.0169,0.0,0.122,0.408,124.011
00jpfco62YfQj1BBYCCuKH,Leve,Cartel De Santa,['07PdYoE4jVRF6Ut40GgVSP'],latin hip hop mexican hip hop,2016,225.24,71,0.663,0.802,0,55.914,1,0.246,0.188,0.0,0.166,0.679,177.842
