id,followers,genres,name,popularity
5ZS223C6JyBfXasXxrRqOk,4418323.0,alternative rb dance pop pop rb urban contemporary,Jhené Aiko,83
47MpMsUfWtgyIIBEFOr4FE,4287158.0,latin latin pop reggaeton reggaeton flow trap latino tropical,Lunay,83
3b8QkneNDz4JHKKKlLgYZg,4273292.0,contemporary country country country pop country road modern country rock,Florida Georgia Line,83
13y7CgLHjMVRMDqxdx0Xdo,3790572.0,atl hip hop dirty south rap gangster rap hip hop pop rap rap southern hip hop trap,Gucci Mane,83
5zctI4wO9XSKS8XwcnqEHk,3540941.0,melodic rap rap rap conscient trap vapor trap,Lil Mosey,83
3Isy6kedDrgPYoTS1dazA9,3411549.0,dance pop dancehall pop pop rap,Sean Paul,83
4Uc8Dsxct0oMqx0P6i60ea,3130403.0,alt z bedroom pop electropop indie pop pop postteen pop,Conan Gray,83
1HwM5zlC5qNWhJtM00yXzG,2693147.0,east coast hip hop gangster rap hardcore hip hop hip hop pop rap rap,DMX,83
716NhGYqD1jl2wI1Qkgq36,2270177.0,argentine hip hop pop venezolano trap argentino trap latino,Bizarrap,83
1dKdetem2xEmjgvyymzytS,2235143.0,corrido norteno nuevo regional mexicano regional mexican sierreno,Grupo Firme,83
4DdkRBBYG6Yk9Ka8tdJ9BW,2008309.0,atl hip hop hip hop pop rap rap southern hip hop trap,Offset,83
4yvcSjfu4PC0CYQyLy4wSq,1651869.0,gauze pop indietronica shiver pop,Glass Animals,83
45dkTj5sMRSjrmBSBeiHym,1375271.0,alt z electropop pop postteen pop,Tate McRae,83
2kXKa3aAFngGz2P4GjG5w2,1080136.0,pop urbaine rap marseille,SCH,83
2LmcxBak1alK1bf7d1beTr,694929.0,reggaeton reggaeton flow trap latino,Juhn,83
0xRXCcSX89eobfrshSVdyu,406658.0,dance pop edm pop dance pop house tropical house,MEDUZA,83
6MPCFvOQv5cIGfw3jODMF0,277005.0,pop rap rap trap,Internet Money,83
6DgP9otnZw5z6daOntINxp,174167.0,dance pop edm house pop dance tropical house uk dance,Joel Corry,83
0u6GtibW46tFX7koQ6uNJZ,135844.0,dance pop edm german dance pop dance pop edm tropical house,Topic,83
6VuMaDnrHyPL1p4EHjYLi7,12846333.0,dance pop pop postteen pop viral pop,Charlie Puth,82
6oMuImdp5ZcFhWP0ESe6mG,11350554.0,atl hip hop hip hop pop rap rap southern hip hop trap,Migos,82
7FNnA9vBm6EKceENgCGRMb,10444315.0,funk carioca funk pop pagode baiano pop nacional,Anitta,82
4obzFoKoKRHIphyHzJ35G3,10025272.0,dance pop latin latin pop latin viral pop pop rap latina reggaeton trap latino,Becky G,82
63yrD80RY3RNEM2YDpUpO8,9986903.0,alt z dance pop electropop pop,Melanie Martinez,82
