id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6epn3r7S14KUqlReYr77hA,Baby,"Justin Bieber, Ludacris","['1uNFoZAHBGtllmzznpCI3s', '3ipn9JLAPI5GUEo4y4jcoi']",canadian pop pop postteen pop atl hip hop dance pop dirty south rap hip hop pop rap rap southern hip hop trap,2010,214.24,79,0.728,0.859,5,54.763,0,0.137,0.0401,0.0,0.111,0.535,65.043
1uKjQoh8JZj9ryuYRhpd7E,Ahora Te Puedes Marchar,Luis Miguel,['2nszmSgqreHSdJA3zWPyrW'],bolero latin latin pop,1987,191.973,79,0.78,0.877,6,56.317,0,0.0427,0.148,2.36e-06,0.0627,0.909,133.263
4O3RwH1TFG1EjPezLIYehI,Life's A Mess II (with Clever & Post Malone),"Juice WRLD, Clever, Post Malone","['4MCBfE4596Uoi2O4DtmEMz', '5yy76ufVriyvidNSvXlRU1', '246dkjvS1zLTtiykXe5h60']",chicago rap melodic rap alabama rap dfw rap melodic rap rap,2021,206.734,79,0.53,0.37,6,50.011,1,0.0279,0.806,0.0,0.112,0.701,140.061
2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),Taylor Swift,['06HL4z0CvFAxyc27GXpf02'],pop postteen pop,2021,294.419,79,0.559,0.646,7,55.39,1,0.0272,0.116,0.0,0.32,0.289,95.466
2CYVETnhM9aytqrazYYwrK,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,['06HL4z0CvFAxyc27GXpf02'],pop postteen pop,2021,277.592,79,0.66,0.817,11,53.731,0,0.0521,0.162,0.0,0.0667,0.714,135.942
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,Fleetwood Mac,['08GQAI4eElDnROBrJRGE0X'],album rock classic rock mellow gold rock soft rock yacht rock,1987,226.653,79,0.73,0.487,4,49.009,1,0.0303,0.258,0.01,0.0852,0.731,114.965
35qOGx1CWvCkQFOv4BkVIV,Esquema Preferido - Ao Vivo,Os Barões Da Pisadinha,['5Lv2GUVwqmQBPwrTrxucE5'],forro piseiro,2021,201.974,79,0.62,0.943,5,57.829,1,0.0435,0.363,0.0,0.0705,0.968,167.945
3YBZIN3rekqsKxbJc9FZko,Paradise City,"""Guns N Roses""",['3qm84nBOXUEQ2vnTfUTTFC'],glam metal hard rock rock,1987,405.64,79,0.273,0.952,11,51.238,1,0.0843,0.0169,0.0111,0.142,0.472,100.271
6ATqL4f1nFWwASrWi8nF6e,agoraphobic,CORPSE,['7yntSJ6uojO3z6GFUVwhAW'],viral rap,2021,129.796,79,0.815,0.697,7,50.43,1,0.219,0.778,0.000398,0.102,0.147,97.987
5yuShbu70mtHXY0yLzCQLQ,Go Flex,Post Malone,['246dkjvS1zLTtiykXe5h60'],dfw rap melodic rap rap,2016,179.613,79,0.665,0.498,5,51.815,1,0.0832,0.228,0.0,0.0757,0.127,81.967
